import time: self [us] | cumulative | imported package
import time:      2404 |       3175 |                 OpenGL.raw.GL._types
import time:       693 |        693 |                 OpenGL.arrays.formathandler
import time:       810 |        810 |                 OpenGL.arrays._arrayconstants
import time:      3946 |      11025 |               OpenGL.arrays.arraydatatype
import time:       584 |        584 |                 OpenGL.contextdata
import time:       964 |        964 |                   OpenGL._null
import time:      2392 |       3355 |                 OpenGL.converters
import time:      1312 |       5250 |               OpenGL.arrays.arrayhelpers
import time:      2509 |      18784 |             OpenGL.arrays
import time:       497 |        497 |               OpenGL.latebind
import time:      2047 |       2543 |             OpenGL.extensions
import time:      1493 |       1493 |             OpenGL.wrapper
import time:       580 |        580 |               OpenGL.raw.GL._lookupint
import time:      1337 |       1917 |             OpenGL.raw.GL._glgets
import time:       804 |        804 |               OpenGL.raw.GL.VERSION
import time:       733 |        733 |               OpenGL.raw.GL._errors
import time:      9104 |       9104 |               OpenGL.raw.GL.VERSION.GL_1_0
import time:      3634 |      14274 |             OpenGL.raw.GL.VERSION.GL_1_1
import time:      2933 |       2933 |             OpenGL.GL.VERSION.GL_1_0
import time:      4223 |      48712 |           OpenGL.GL.VERSION.GL_1_1
import time:      2095 |       2095 |           OpenGL.GL.pointers
import time:      1705 |       1705 |             OpenGL.raw.GL.VERSION.GL_1_2
import time:      3408 |       3408 |             OpenGL.raw.GL.VERSION.GL_3_0
import time:       783 |        783 |             OpenGL.images
import time:      3637 |       9532 |           OpenGL.GL.images
import time:       967 |        967 |             OpenGL.lazywrapper
import time:      1699 |       2666 |           OpenGL.GL.exceptional
import time:       539 |        539 |           OpenGL.GL.glget
import time:       553 |        553 |               OpenGL.GL.ARB
import time:      1512 |       1512 |                 OpenGL.raw.GL.ARB
import time:      3449 |       4961 |               OpenGL.raw.GL.ARB.imaging
import time:      3537 |       9051 |             OpenGL.GL.ARB.imaging
import time:       749 |        749 |               OpenGL.constants
import time:      1810 |       2559 |             OpenGL.GL.VERSION.GL_1_2_images
import time:      1797 |      13406 |           OpenGL.GL.VERSION.GL_1_2
import time:      3258 |       3258 |             OpenGL.raw.GL.VERSION.GL_1_3
import time:      3282 |       6539 |           OpenGL.GL.VERSION.GL_1_3
import time:      1797 |       1797 |             OpenGL.raw.GL.VERSION.GL_1_4
import time:      2189 |       3985 |           OpenGL.GL.VERSION.GL_1_4
import time:       961 |        961 |             OpenGL.raw.GL.VERSION.GL_1_5
